        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 10:39:59          25        26.65
2018-01-15 10:40:00          25        26.58
2018-01-15 10:40:01          25        26.54
2018-01-15 10:40:02          25         26.5
2018-01-15 10:40:03          25        26.45
2018-01-15 10:40:04          25        26.41
2018-01-15 10:40:05          25        26.36
2018-01-15 10:40:06          25        26.31
2018-01-15 10:40:07          25        26.26
2018-01-15 10:40:08          25        26.22
2018-01-15 10:40:09          25        26.18
2018-01-15 10:40:10          25        26.13
2018-01-15 10:40:11          25        26.08
2018-01-15 10:40:12          25        26.03
2018-01-15 10:40:13          25        25.99
2018-01-15 10:40:14          25        25.96
2018-01-15 10:40:15          25        25.92
2018-01-15 10:40:16          25         25.9
